,Cities,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dingle,48.247690464401444,-14.052342072779965,82.33,77,100,3.4,PH,1601428240
1,busselton,-61.2634765810388,87.635957465471,64,80,99,10.42,AU,1601428240
2,skala fourkas,39.70183957706692,23.407450091148974,62.01,59,0,8.99,GR,1601428241
3,bonavista,51.274296064094756,-44.646373186375,60.44,92,46,17.76,CA,1601428241
4,albany,-57.07086788687544,104.71736840886416,61,84,100,3.44,US,1601428241
5,taolanaro,-41.17363518169345,56.817312883150834,,,,,,
6,clyde river,69.9563804288594,-70.69201644517179,28.4,79,90,11.41,CA,1601428242
7,tautira,-17.085561774821542,-141.87116465312715,87.8,55,40,6.93,PF,1601428242
8,carnarvon,-25.945395480541237,109.64078005168079,66.2,59,0,16.11,AU,1601428242
9,mehamn,79.07257828213795,27.074956978221024,49.01,84,31,10.36,NO,1601428243
10,makung,23.23028284980549,118.50061202843756,,,,,,
11,victoria,-6.143577097774468,50.141485209201335,84.99,84,34,12.03,HK,1601428170
12,port alfred,-83.82157508137902,46.71724190544941,54.43,77,39,7.47,ZA,1601428244
13,isla aguada,19.52272200656651,-91.78883629013635,84.2,79,40,5.82,MX,1601428244
14,maningrida,-10.301470317638646,133.67676530719,86.16,58,78,12.55,AU,1601428244
15,vaini,-44.07091239409386,-178.85048457140107,80.6,83,90,14.99,TO,1601428244
16,lianran,24.576076255232437,101.56279327743005,70,100,90,6.71,CN,1601428245
17,berlevag,78.4257826816966,29.639739045900598,50.45,80,28,10.45,NO,1601428245
18,maceio,-18.89496381295008,-24.962449720981226,71.6,88,5,3.36,BR,1601428245
19,areosa,41.62091665758561,-9.124040412516308,64,93,0,9.86,PT,1601428245
20,port alfred,-85.69574957167626,45.31001021491923,54.43,77,39,7.47,ZA,1601428244
21,warrington,27.377992105472075,-87.18127486646219,50,93,61,11.41,GB,1601428246
22,daye,30.188665452178967,115.0261204940233,72.57,81,10,1.57,CN,1601428246
23,kaitangata,-69.13937016055866,178.28220002861207,42.78,89,100,11.01,NZ,1601428246
24,cape town,-68.74640435422776,-11.351492359448997,55,76,31,10.29,ZA,1601428196
25,emba,48.88602186206771,58.1702952572476,51.78,44,0,8.21,KZ,1601428247
26,madras,12.283289326936696,82.7579580714771,77,88,90,9.17,IN,1601428107
27,yellowknife,88.10088001787165,-98.62640208240381,42.8,87,75,12.75,CA,1601428247
28,iquique,-20.37410097689029,-72.12679933533086,60.8,72,40,11.41,CL,1601428247
29,ugoofaaru,5.874924157626239,72.41775618254462,81.81,73,100,9.33,MV,1601428248
30,tiksi,87.46506513108983,127.50534768112033,33.76,97,100,14.03,RU,1601428248
31,yellowknife,64.90499885345432,-117.53873314106205,42.8,87,75,12.75,CA,1601428247
32,mata,20.362432935679635,111.94591859441601,57,87,100,1.01,PT,1601428248
33,rikitea,-57.12913869599693,-123.23198775400795,69.89,78,70,21.85,PF,1601428248
34,makakilo city,5.47748502787276,-166.32816808845007,89.6,62,1,10.29,US,1601428249
35,arcata,40.686391719550784,-123.8679701884873,63,93,90,3.36,US,1601428249
36,barrow,89.54751124128069,-156.83276451584706,33.8,80,90,11.41,US,1601428249
37,salur,18.401065295701827,83.05380372110403,76.15,89,100,3.04,IN,1601428197
38,mataura,-81.92318562612745,-155.42910940975852,42.91,95,100,7.2,NZ,1601428249
39,jamestown,-21.161074320772343,-12.500153273566582,55.99,81,90,6.93,US,1601428250
40,aklavik,68.22718613596376,-137.39678676043982,41,80,75,6.93,CA,1601428250
41,albany,-44.72177646176893,111.75269449123078,61,84,100,3.44,US,1601428241
42,kodiak,43.90517535127884,-147.63694091197226,48.2,87,90,28.86,US,1601428250
43,mataura,-79.60772912146668,-152.04319338732742,42.91,95,100,7.2,NZ,1601428249
44,namibe,-13.572322521716004,4.541894009045876,62.91,84,84,6.64,AO,1601428251
45,tasiilaq,63.11482207702639,-38.21082554379001,32,92,100,4.7,GL,1601428251
46,xining,35.16004385672224,101.28734143594045,53.1,69,100,3.53,CN,1601428251
47,punta arenas,-81.44987257914715,-102.24685091952506,33.8,86,40,26.4,CL,1601428251
48,chagda,57.45512879700695,130.39771345042698,,,,,,
49,arraial do cabo,-27.157765102124586,-39.29019947477033,75.2,88,75,5.82,BR,1601428253
50,ponta do sol,22.479540204808842,-42.317159367537926,69.8,68,75,6.93,PT,1601428253
51,saldanha,-37.85477713436247,7.859651932813108,48.2,81,39,4.7,ZA,1601428253
52,taiyuan,37.90046021920118,112.10314114652402,57.2,76,73,2.24,CN,1601428147
53,vaini,-44.30903610307968,-169.50662122269753,80.6,83,90,14.99,TO,1601428244
54,belushya guba,81.86958884433605,58.97393608377084,,,,,,
55,kapaa,28.947224348562912,-160.81198003878967,84.99,66,1,10.29,US,1601428254
56,barawe,-3.5169538642255986,48.33535386931527,,,,,,
57,russell,-30.3563542440232,178.76385168757378,62.6,93,40,3.42,US,1601428255
58,tilichiki,61.023599205099146,168.79662232399346,41.29,84,100,9.73,RU,1601428256
59,lunenburg,43.77091783554499,-63.868563690427806,66.99,98,72,10.49,CA,1601428256
60,hermanus,-73.68953850450956,5.7487607367641544,45,93,29,3.67,ZA,1601428256
61,miandrivazo,-19.742771513661495,44.83921289106732,74.41,59,0,1.79,MG,1601428256
62,saleaula,-6.498497015459549,-169.15536450328761,,,,,,
63,mataura,-86.98718471126489,-148.75365832548135,42.91,95,100,7.2,NZ,1601428249
64,dikson,75.38620880305194,85.49383465865583,36.09,82,100,16.15,RU,1601428258
65,ostrovnoy,72.44552117565189,43.954262075371815,46.08,79,0,18.37,RU,1601428258
66,mataura,-84.37449141541691,-149.59947371690842,42.91,95,100,7.2,NZ,1601428249
67,ancud,-39.93879084812166,-98.54557822033703,37.99,93,100,5.82,CL,1601428258
68,lompoc,26.74359087956347,-130.08822297883853,62.6,82,1,14.99,US,1601428258
69,mataura,-49.997232069589245,-159.80648709796284,42.91,95,100,7.2,NZ,1601428249
70,forio,40.174915974052,13.022223519699082,62.6,82,0,2.24,IT,1601428259
71,albany,-82.54519948525663,98.49984184636833,61,84,100,3.44,US,1601428241
72,walvis bay,-24.718904729039266,14.587522078008618,51.01,93,0,9.17,NA,1601428259
73,nome,66.61931830361684,-167.01347919174057,43,60,75,8.05,US,1601428260
74,jinchang,40.197627890808235,102.0953037074346,54.63,59,15,27.98,CN,1601428133
75,avarua,-56.54246684232069,-166.40397898932255,78.8,78,38,25.28,CK,1601428260
76,busselton,-72.66273044429889,82.51307978710281,64,80,99,10.42,AU,1601428240
77,vanimo,5.029410528185963,142.88856800147784,85.62,66,15,5.41,PG,1601428260
78,codrington,20.388179168409835,-56.42272877408405,57,89,100,14.27,AU,1601428261
79,jacareacanga,-5.895893098307241,-56.1068191477397,80.31,59,39,0.54,BR,1601428261
80,saleaula,3.064471282370235,-170.58983191537672,,,,,,
81,paita,-8.704476719147905,-87.23155167428206,61.61,85,0,12.24,PE,1601428261
82,punta arenas,-78.40752041061764,-95.40942094117239,33.8,86,40,26.4,CL,1601428251
83,albany,-66.97131170787253,110.33415712791117,61,84,100,3.44,US,1601428241
84,van wert,40.81607879688383,-84.72183260603559,55.99,76,1,7.18,US,1601428262
85,geraldton,-33.62587552406351,94.70675422618143,66.2,59,0,12.75,AU,1601428100
86,puerto ayora,-13.64002018684127,-105.33403413421887,68,91,65,10,EC,1601428262
87,jamestown,-19.009379235425357,-13.262383259631747,55.99,81,90,6.93,US,1601428250
88,east london,-68.1555229425283,48.32883225153395,57.45,68,17,2.59,ZA,1601428263
89,pierre,45.132909631938844,-100.73618589160994,77,25,1,10.29,US,1601428263
