,Cities,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Lat,Lng,Hotel Name
0,dingle,48.24769046440144,-14.052342072779965,82.33,77.0,100.0,3.4,PH,1601428240.0,11.0111309,122.650351,Urban Sands Iloilo
1,busselton,-61.2634765810388,87.635957465471,64.0,80.0,99.0,10.42,AU,1601428240.0,-33.6531584,115.3454892,Pullman Bunker Bay Resort Margaret River Region
2,skala fourkas,39.70183957706692,23.407450091148966,62.01,59.0,0.0,8.99,GR,1601428241.0,40.0057436,23.4149339,Art Boutique Hotel
3,bonavista,51.274296064094756,-44.646373186375,60.44,92.0,46.0,17.76,CA,1601428241.0,48.6533449,-53.11182489999999,Seaport Inn Hotel & Restaurant
4,albany,-57.07086788687544,104.71736840886416,61.0,84.0,100.0,3.44,US,1601428241.0,42.6525793,-73.7562317,The Maker Hotel
5,taolanaro,-41.173635181693456,56.81731288315083,,,,,,,-25.0225309,46.9853688,Manafiafy Beach & Rainforest Lodge
6,clyde river,69.95638042885939,-70.69201644517179,28.4,79.0,90.0,11.41,CA,1601428242.0,70.47636500000002,-68.60126509999999,Naujaaraaluit – Clyde River Hotel
7,tautira,-17.085561774821542,-141.87116465312715,87.8,55.0,40.0,6.93,PF,1601428242.0,-17.7496214,-149.1611957,InterContinental Resort Tahiti
8,carnarvon,-25.94539548054124,109.64078005168079,66.2,59.0,0.0,16.11,AU,1601428242.0,-24.8877473,113.6621827,Coral Coast Tourist Park
9,mehamn,79.07257828213795,27.074956978221024,49.01,84.0,31.0,10.36,NO,1601428243.0,71.0357069,27.848941,Mehamn Arctic Hotel AS
10,makung,23.230282849805487,118.50061202843756,,,,,,,23.5706269,119.5774616,安泊旅店 Apause Hotel
11,victoria,-6.143577097774467,50.14148520920135,84.99,84.0,34.0,12.03,HK,1601428170.0,22.2799907,114.1587983,Pengheng Space Capsules Hotel
12,port alfred,-83.82157508137901,46.71724190544941,54.43,77.0,39.0,7.47,ZA,1601428244.0,-33.5864065,26.8851448,The House Quarters
13,isla aguada,19.522722006566514,-91.78883629013636,84.2,79.0,40.0,5.82,MX,1601428244.0,18.7842824,-91.4918344,City Express Junior Ciudad del Carmen Aeropuerto
14,maningrida,-10.301470317638646,133.67676530719,86.16,58.0,78.0,12.55,AU,1601428244.0,-12.0561356,134.2311504,Arnhem Land Barramundi Lodge
15,vaini,-44.07091239409386,-178.8504845714011,80.6,83.0,90.0,14.99,TO,1601428244.0,-21.1935,-175.1751534,Fafa Island Resort
16,lianran,24.57607625523244,101.56279327743003,70.0,100.0,90.0,6.71,CN,1601428245.0,24.916988,102.470972,Green Lake Hotel
17,berlevag,78.4257826816966,29.6397390459006,50.45,80.0,28.0,10.45,NO,1601428245.0,70.7198284,29.0300862,Båtsfjord Brygge AS
18,maceio,-18.894963812950078,-24.962449720981226,71.6,88.0,5.0,3.36,BR,1601428245.0,-9.6498487,-35.7089492,Pousada Ipioca Beach Village
19,areosa,41.62091665758561,-9.124040412516306,64.0,93.0,0.0,9.86,PT,1601428245.0,41.7151796,-8.8539092,Carmo's Boutique Hotel
20,port alfred,-85.69574957167626,45.310010214919224,54.43,77.0,39.0,7.47,ZA,1601428244.0,-33.5864065,26.8851448,The House Quarters
21,warrington,27.377992105472075,-87.18127486646219,50.0,93.0,61.0,11.41,GB,1601428246.0,53.3900441,-2.5969501,CitySuites Aparthotel Manchester
22,daye,30.18866545217897,115.0261204940233,72.57,81.0,10.0,1.57,CN,1601428246.0,30.095643,114.979875,Tonino Lamborghini Hotel Huangshi - Cihu Lake
23,kaitangata,-69.13937016055866,178.2822000286121,42.78,89.0,100.0,11.01,NZ,1601428246.0,-46.2859133,169.846066,Majestic Mansions - St Clair Apartments
24,cape town,-68.74640435422776,-11.351492359448994,55.0,76.0,31.0,10.29,ZA,1601428196.0,-33.9248685,18.4240553,Atlanticview Cape Town Boutique Hotel
25,emba,48.88602186206771,58.1702952572476,51.78,44.0,0.0,8.21,KZ,1601428247.0,,,
26,madras,12.283289326936696,82.7579580714771,77.0,88.0,90.0,9.17,IN,1601428107.0,13.0826802,80.2707184,SilverKey Executive Stays 60446 Sadha Siva 36th Street
27,yellowknife,88.10088001787165,-98.6264020824038,42.8,87.0,75.0,12.75,CA,1601428247.0,62.4539717,-114.3717887,The Explorer Hotel
28,iquique,-20.37410097689029,-72.12679933533086,60.8,72.0,40.0,11.41,CL,1601428247.0,-20.2307033,-70.1356692,Holiday Inn Express Iquique
29,ugoofaaru,5.874924157626237,72.41775618254462,81.81,73.0,100.0,9.33,MV,1601428248.0,5.6675876,73.03019680000001,Kudadoo Maldives Private Island
30,tiksi,87.46506513108982,127.50534768112031,33.76,97.0,100.0,14.03,RU,1601428248.0,71.63748199999999,128.8644716,Arktika
31,yellowknife,64.90499885345432,-117.53873314106205,42.8,87.0,75.0,12.75,CA,1601428247.0,62.4539717,-114.3717887,The Explorer Hotel
32,mata,20.362432935679635,111.94591859441601,57.0,87.0,100.0,1.01,PT,1601428248.0,26.2504608,-98.2219906,Hotel Posada San Antonio
33,rikitea,-57.129138695996936,-123.23198775400795,69.89,78.0,70.0,21.85,PF,1601428248.0,-23.1223034,-134.9691543,Pension Maro'i
34,makakilo city,5.477485027872761,-166.3281680884501,89.6,62.0,1.0,10.29,US,1601428249.0,21.3469444,-158.0858333,Waikiki Grand Hotel
